iter	RMSE
0	35870.59898
1	34436.42852
2	33084.57209
3	31796.76204
4	30542.9934
5	29396.98712
6	28291.99483
7	27257.7411
8	26241.69612
9	25300.53288
10	24394.37382
11	23528.98816
12	22727.58852
13	21949.30054
14	21206.9672
15	20494.99617
16	19823.8126
17	19192.29592
18	18586.55506
19	18009.8081
20	17446.47345
21	16922.16757
22	16414.62234
23	15945.29972
24	15482.60624
25	15055.80349
26	14651.8738
27	14249.92603
28	13879.5943
29	13525.10999
30	13171.21591
31	12844.96135
32	12533.82844
33	12240.50043
34	11957.65281
35	11681.9308
36	11417.48097
37	11170.62694
38	10928.38635
39	10700.01341
40	10474.31274
41	10264.12241
42	10055.14202
43	9856.226034
44	9664.18283
45	9489.399813
46	9301.750862
47	9121.051762
48	8964.569994
49	8807.915263
50	8649.931068
51	8512.213412
52	8365.420145
53	8236.364449
54	8104.327108
55	7983.620736
56	7871.831714
57	7760.970816
58	7659.382001
59	7552.286017
60	7447.985643
61	7355.931053
62	7270.689074
63	7190.121598
64	7106.994969
65	7023.165574
66	6950.686085
67	6881.715118
68	6814.71637
69	6754.690588
70	6696.224413
71	6641.427065
72	6585.91061
73	6534.287499
74	6479.930763
75	6426.906656
76	6381.626751
77	6334.730353
78	6295.720694
79	6254.733216
80	6217.614204
81	6178.834031
82	6140.473946
83	6107.311257
84	6072.902323
85	6043.549176
86	6016.584424
87	5986.979081
88	5962.452082
89	5939.352275
90	5917.081957
91	5897.51489
92	5871.186182
93	5848.247245
94	5826.831002
95	5810.313055
96	5793.086418
97	5776.637675
98	5760.599848
99	5743.526193
100	5730.342611
101	5716.816655
102	5703.118727
103	5685.130467
104	5671.493951
105	5660.448808
106	5648.985538
107	5638.437368
108	5625.414197
109	5615.436699
110	5606.609202
111	5596.612378
112	5588.498257
113	5580.498355
114	5573.57516
115	5565.216484
116	5556.051329
117	5550.337744
118	5543.845626
119	5535.840755
120	5530.03383
121	5522.208147
122	5514.810646
123	5506.966097
124	5500.438943
125	5495.030144
126	5486.862171
127	5479.689489
128	5475.272683
129	5471.977674
130	5465.506784
131	5460.458754
132	5454.88158
133	5451.627934
134	5448.224089
135	5445.106678
136	5439.007677
137	5434.16077
138	5429.184212
139	5424.734403
140	5420.726
141	5417.740177
142	5413.361963
143	5409.720039
144	5404.452426
145	5401.850227
146	5396.477426
147	5394.410404
148	5392.590473
149	5390.197265
150	5387.148844
151	5384.947378
152	5381.625856
153	5378.800341
154	5375.717627
155	5373.24036
156	5371.139627
157	5368.978227
158	5367.230452
159	5364.644615
160	5361.958337
161	5358.216468
162	5355.793498
163	5354.174426
164	5352.544095
165	5350.601715
166	5348.789608
167	5345.161424
168	5341.644923
169	5340.169873
170	5336.756178
171	5334.267299
172	5332.649774
173	5331.264333
174	5330.297562
175	5327.999269
176	5326.802428
177	5324.253015
178	5322.399162
179	5321.558702
180	5320.286614
181	5318.068757
182	5314.669509
183	5313.409297
184	5312.748405
185	5311.237268
186	5310.399938
187	5306.475166
188	5303.947708
189	5301.204743
190	5299.521107
191	5298.486707
192	5297.284869
193	5295.339855
194	5293.476891
195	5291.790431
196	5289.367952
197	5286.621981
198	5283.486381
199	5281.439994
200	5280.565327
201	5278.68399
202	5277.868096
203	5276.936091
204	5276.13467
205	5273.520137
206	5272.726856
207	5271.548428
208	5270.415233
209	5269.233857
210	5267.045276
211	5266.130779
212	5265.336195
213	5263.259076
214	5262.692485
215	5259.399069
216	5257.373385
217	5256.291083
218	5255.386688
219	5252.894245
220	5252.281344
221	5250.838857
222	5250.354296
223	5249.016499
224	5247.706596
225	5247.401946
226	5246.094368
227	5244.943144
228	5243.215159
229	5242.571042
230	5241.5428
231	5240.678574
232	5238.530034
233	5237.655879
234	5237.248635
235	5235.689182
236	5234.350524
237	5232.423346
238	5231.358445
239	5229.298018
240	5228.866512
241	5227.809387
242	5225.481987
243	5224.67877
244	5223.784574
245	5222.481845
246	5222.054515
247	5221.559696
248	5221.091752
249	5217.914021
250	5217.257673
251	5216.426314
252	5215.628349
253	5213.981714
254	5213.294243
255	5212.609944
256	5212.37643
257	5211.639539
258	5209.75612
259	5209.207411
260	5207.970852
261	5207.855241
262	5207.030119
263	5206.336494
264	5203.830321
265	5202.91887
266	5202.218688
267	5201.399118
268	5200.866775
269	5199.878794
270	5198.855633
271	5198.63222
272	5197.847321
273	5195.737605
274	5195.180245
275	5194.665774
276	5194.407025
277	5193.934421
278	5192.015745
279	5191.283309
280	5190.752818
281	5190.319218
282	5188.283902
283	5187.571234
284	5186.489847
285	5185.825598
286	5184.141777
287	5183.231776
288	5181.564969
289	5179.086321
290	5177.814393
291	5177.047256
292	5176.736468
293	5175.913545
