iter	RMSE
0	35988.56435
1	34651.01443
2	33385.77401
3	32197.37218
4	31087.86981
5	30038.05059
6	29015.17002
7	28059.60361
8	27157.27716
9	26312.38136
10	25517.86989
11	24736.75384
12	23995.93043
13	23274.25809
14	22585.11505
15	21940.38447
16	21325.51926
17	20735.33343
18	20181.73876
19	19634.78278
20	19141.57796
21	18662.14652
22	18173.39627
23	17736.79189
24	17292.98089
25	16880.71781
26	16475.74461
27	16097.04451
28	15718.20627
29	15360.6825
30	15022.67098
31	14695.04393
32	14377.07833
33	14070.82482
34	13775.46523
35	13493.05302
36	13222.08612
37	12964.95593
38	12714.19076
39	12469.15538
40	12237.78927
41	12012.17963
42	11793.61899
43	11587.91945
44	11385.58061
45	11192.38365
46	11008.84272
47	10825.5187
48	10656.00341
49	10488.42322
50	10326.42279
51	10156.87662
52	10003.44027
53	9845.792846
54	9705.972506
55	9571.790718
56	9430.051582
57	9302.961013
58	9180.269482
59	9048.833141
60	8932.495557
61	8817.030669
62	8701.410699
63	8591.461201
64	8485.337106
65	8387.764724
66	8289.555687
67	8192.421557
68	8105.125266
69	8018.874052
70	7932.517385
71	7848.447476
72	7767.761187
73	7685.265541
74	7610.431451
75	7543.261872
76	7473.982778
77	7408.285533
78	7342.206802
79	7281.071718
80	7221.625908
81	7164.869949
82	7111.201251
83	7057.902255
84	7006.33815
85	6957.525981
86	6911.574224
87	6865.800603
88	6823.341618
89	6782.254098
90	6741.093859
91	6700.985995
92	6663.059659
93	6626.407991
94	6592.323754
95	6556.7851
96	6520.374499
97	6488.924607
98	6455.522147
99	6424.924055
100	6398.367901
101	6370.30366
102	6340.501173
103	6314.797856
104	6289.869582
105	6265.663296
106	6242.681646
107	6219.908309
108	6199.318699
109	6177.610029
110	6158.195674
111	6138.055579
112	6118.080161
113	6099.504869
114	6081.897789
115	6064.934536
116	6047.130189
117	6031.695592
118	6018.231505
119	6002.740285
120	5988.326865
121	5973.655566
122	5958.882797
123	5945.294248
124	5932.885392
125	5918.729927
126	5906.269191
127	5895.219561
128	5880.554684
129	5869.375405
130	5858.344075
131	5846.974919
132	5833.617661
133	5822.527894
134	5812.173098
135	5799.437949
136	5789.585299
137	5780.650622
138	5769.610673
139	5762.051237
140	5753.865584
141	5746.035683
142	5739.703591
143	5731.828826
144	5724.488342
145	5717.752581
146	5710.90027
147	5700.201242
148	5694.341755
149	5687.273015
150	5680.058148
151	5673.354314
152	5668.686258
153	5662.446679
154	5659.166635
155	5654.312566
156	5649.316896
157	5640.285851
158	5634.822162
159	5631.335087
160	5624.145253
161	5620.834282
162	5616.356128
163	5611.947995
164	5604.61464
165	5597.80617
166	5590.50208
167	5585.822031
168	5580.596914
169	5575.185031
170	5570.692486
171	5567.023915
172	5563.413056
173	5557.337769
174	5550.471839
175	5547.541376
176	5541.560166
177	5538.896493
178	5535.125862
179	5530.397837
180	5524.844219
181	5522.211797
182	5519.428723
183	5514.083582
184	5510.429519
185	5508.057072
186	5505.363021
187	5502.136572
188	5499.840571
189	5495.819084
190	5490.608294
191	5485.940855
192	5482.642289
193	5481.010642
194	5478.604935
195	5474.462924
196	5472.65978
197	5469.03288
198	5465.862366
199	5460.893444
200	5458.672651
201	5456.902087
202	5452.988991
203	5450.717671
204	5448.727005
205	5446.594752
206	5443.957904
207	5442.633648
208	5440.149665
209	5438.793216
210	5436.964883
211	5434.740125
212	5433.598411
213	5430.830574
214	5429.203943
215	5427.051053
216	5425.317984
217	5422.836976
218	5420.412987
219	5418.729678
220	5417.339742
221	5415.935801
222	5413.883517
223	5412.785266
224	5411.383509
225	5409.723132
226	5408.371393
227	5405.285296
228	5403.365813
229	5401.095056
230	5400.081728
231	5399.495069
232	5398.02472
233	5396.090608
234	5394.47615
235	5393.180492
236	5391.824115
