iter	Passed	Remaining
0	93	46489
1	126	31429
2	161	26726
3	184	22915
4	207	20575
5	230	18967
6	252	17769
7	278	17110
8	302	16492
9	324	15883
10	346	15407
11	371	15123
12	394	14785
13	417	14487
14	443	14329
15	474	14366
16	502	14271
17	529	14173
18	548	13880
19	574	13784
20	592	13516
21	617	13409
22	638	13248
23	654	12983
24	682	12971
25	705	12865
26	722	12658
27	747	12599
28	772	12539
29	807	12653
30	833	12614
31	855	12510
32	879	12446
33	901	12357
34	923	12270
35	947	12211
36	967	12112
37	985	11979
38	1008	11920
39	1055	12136
40	1091	12224
41	1117	12189
42	1138	12103
43	1160	12024
44	1191	12046
45	1208	11923
46	1227	11834
47	1252	11795
48	1280	11785
49	1305	11752
50	1324	11657
51	1349	11627
52	1374	11589
53	1408	11633
54	1429	11567
55	1453	11527
56	1482	11524
57	1522	11599
58	1559	11658
59	1599	11731
60	1633	11753
61	1666	11773
62	1692	11737
63	1724	11751
64	1750	11714
65	1783	11725
66	1820	11768
67	1851	11764
68	1883	11763
69	1915	11767
70	1945	11756
71	1977	11753
72	2006	11738
73	2035	11716
74	2065	11702
75	2101	11724
76	2132	11714
77	2158	11679
78	2189	11669
79	2215	11631
80	2238	11579
81	2265	11550
82	2296	11538
83	2322	11501
84	2349	11469
85	2386	11490
86	2420	11488
87	2445	11447
88	2468	11400
89	2494	11363
90	2522	11336
91	2548	11302
92	2576	11276
93	2605	11255
94	2632	11223
95	2658	11187
96	2687	11165
97	2711	11122
98	2736	11084
99	2756	11026
100	2794	11039
101	2822	11012
102	2857	11013
103	2891	11009
104	2920	10986
105	2950	10965
106	2977	10934
107	3007	10917
108	3036	10892
109	3067	10874
110	3085	10814
111	3115	10793
112	3148	10784
113	3183	10778
114	3204	10727
115	3239	10724
116	3271	10707
117	3299	10680
118	3325	10648
119	3347	10600
120	3375	10571
121	3401	10537
122	3430	10513
123	3456	10480
124	3489	10469
125	3510	10421
126	3539	10396
127	3568	10371
128	3598	10347
129	3624	10315
130	3650	10282
131	3686	10278
132	3713	10248
133	3744	10226
134	3772	10200
135	3799	10168
136	3830	10148
137	3857	10118
138	3893	10110
139	3918	10074
140	3948	10053
141	3981	10037
142	4016	10027
143	4051	10015
144	4079	9988
145	4106	9956
146	4138	9939
147	4167	9911
148	4201	9898
149	4229	9869
150	4263	9852
151	4290	9822
152	4319	9796
153	4352	9779
154	4379	9747
155	4401	9705
156	4427	9672
157	4447	9627
158	4488	9627
159	4515	9595
160	4532	9544
161	4554	9502
162	4585	9479
163	4615	9456
164	4638	9416
165	4668	9394
166	4691	9355
167	4724	9335
168	4755	9313
169	4788	9295
170	4819	9271
171	4840	9231
172	4876	9217
173	4893	9168
174	4910	9119
175	4942	9098
176	4958	9048
177	4989	9025
178	5017	8997
179	5041	8962
180	5060	8918
181	5088	8891
182	5115	8861
183	5145	8837
184	5168	8801
185	5198	8775
186	5228	8751
187	5252	8716
188	5281	8690
189	5300	8648
190	5326	8617
191	5347	8578
192	5366	8536
193	5391	8504
194	5418	8474
195	5435	8431
196	5471	8415
197	5499	8387
198	5520	8349
199	5546	8320
200	5563	8276
201	5595	8254
202	5622	8226
203	5645	8190
204	5665	8153
205	5704	8140
206	5730	8110
207	5757	8083
208	5785	8055
209	5817	8033
210	5846	8008
211	5875	7982
212	5904	7956
213	5918	7909
214	5949	7886
215	5980	7862
216	5995	7819
217	6011	7776
218	6027	7733
219	6053	7704
220	6082	7678
221	6114	7656
222	6144	7632
223	6166	7598
224	6195	7572
225	6222	7543
226	6244	7509
227	6268	7478
228	6286	7439
229	6298	7393
230	6324	7364
231	6360	7347
232	6386	7318
233	6403	7278
234	6423	7243
235	6456	7222
236	6473	7184
237	6505	7160
238	6531	7133
239	6556	7103
240	6583	7075
241	6619	7056
242	6646	7029
243	6677	7006
244	6707	6981
245	6727	6946
246	6757	6921
247	6795	6904
248	6829	6884
249	6859	6859
250	6888	6833
251	6921	6811
252	6947	6782
253	6983	6764
254	7017	6742
255	7042	6712
256	7059	6675
257	7095	6655
258	7115	6620
259	7133	6584
260	7173	6568
261	7204	6544
262	7218	6505
263	7235	6468
264	7254	6433
265	7286	6410
266	7307	6376
267	7341	6354
268	7355	6316
269	7370	6278
270	7387	6242
271	7404	6206
272	7425	6174
273	7454	6148
274	7476	6117
275	7493	6081
276	7515	6050
277	7538	6019
278	7564	5991
279	7594	5967
280	7624	5942
281	7656	5918
282	7687	5894
283	7715	5867
284	7744	5842
285	7770	5814
286	7789	5781
287	7819	5755
288	7836	5721
289	7854	5687
290	7880	5659
291	7912	5636
292	7940	5609
293	7969	5584
294	7997	5557
295	8021	5528
296	8047	5500
297	8068	5469
298	8096	5442
299	8114	5409
300	8132	5376
301	8151	5344
302	8179	5317
303	8209	5292
304	8237	5266
305	8258	5236
306	8289	5211
307	8316	5184
308	8346	5159
309	8378	5134
310	8409	5110
311	8443	5087
312	8474	5063
313	8491	5030
314	8521	5004
315	8554	4981
316	8581	4953
317	8603	4923
318	8626	4894
